"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"9/29/2025","9/29/2025","9/30/2025","MSFT","Microsoft
CUSIP: 594918104","Buy","0.019561","$511.21","($10.00)"
"9/29/2025","9/29/2025","9/30/2025","VXUS","Vanguard Total International Stock ETF
CUSIP: 921909768","Buy","0.273597","$73.10","($20.00)"
"9/29/2025","9/29/2025","9/30/2025","NVDA","NVIDIA
CUSIP: 67066G104","Buy","0.083171","$180.35","($15.00)"
"9/29/2025","9/29/2025","9/30/2025","CRSP","CRISPR
CUSIP: H17182108","Buy","0.080372","$62.21","($5.00)"
"9/29/2025","9/29/2025","9/30/2025","VXUS","Vanguard Total International Stock ETF
CUSIP: 921909768","Buy","0.273597","$73.10","($20.00)"
"9/29/2025","9/29/2025","9/30/2025","AMZN","Amazon
CUSIP: 023135106","Buy","0.045466","$219.94","($10.00)"
"9/29/2025","9/29/2025","9/30/2025","VTI","Vanguard Total Stock Market ETF
CUSIP: 922908769","Buy","0.244133","$327.69","($80.00)"
"9/29/2025","9/29/2025","9/30/2025","GLDM","SPDR Gold MiniShares
CUSIP: 98149E303","Buy","0.528576","$75.68","($40.00)"
"9/29/2025","9/29/2025","9/30/2025","TSLA","Tesla
CUSIP: 88160R101","Buy","0.022505","$444.33","($10.00)"
"9/29/2025","9/29/2025","9/30/2025","VTI","Vanguard Total Stock Market ETF
CUSIP: 922908769","Buy","0.244133","$327.69","($80.00)"
"9/29/2025","9/29/2025","9/29/2025","","Instant bank transfer - account ending in 2776","RTP","","","$200.00"
"9/26/2025","9/26/2025","9/26/2025","","Cash reward new fees IN nra tax withhold","NRAT","","","($1.50)"
"9/26/2025","9/26/2025","9/26/2025","","Cash reward","MISC","","","$5.00"
"9/26/2025","9/26/2025","9/29/2025","PLTR","Palantir Technologies
CUSIP: 69608A108","Buy","0.028184","$177.40","($5.00)"
"9/26/2025","9/26/2025","9/29/2025","TSLA","Tesla
CUSIP: 88160R101","Buy","0.022728","$439.97","($10.00)"
"9/26/2025","9/26/2025","9/29/2025","AMZN","Amazon
CUSIP: 023135106","Buy","0.045448","$220.03","($10.00)"
"9/26/2025","9/26/2025","9/29/2025","MSFT","Microsoft
CUSIP: 594918104","Buy","0.019589","$510.48","($10.00)"
"9/26/2025","9/26/2025","9/29/2025","NVDA","NVIDIA
CUSIP: 67066G104","Buy","0.084333","$177.86","($15.00)"
"9/26/2025","9/26/2025","9/29/2025","GLDM","SPDR Gold MiniShares
CUSIP: 98149E303","Buy","0.268042","$74.62","($20.00)"
"9/26/2025","9/26/2025","9/26/2025","","Instant bank transfer - account ending in 2776","RTP","","","$200.00"
"9/18/2025","9/18/2025","9/19/2025","VTV","Vanguard Value ETF
CUSIP: 922908744","Buy","0.542493","$185.44","($100.60)"
"9/18/2025","9/18/2025","9/19/2025","","ACH Deposit","ACH","","","$200.00"
"3/14/2025","3/14/2025","3/17/2025","","ACH Withdrawal","ACH","","","($615.00)"
"3/13/2025","3/13/2025","3/14/2025","IWF","iShares Russell 1000 Growth ETF
CUSIP: 464287614","Sell","0.48851","$359.43","$175.58"
"3/13/2025","3/13/2025","3/14/2025","VUG","Vanguard Growth ETF
CUSIP: 922908736","Sell","0.55025","$368.22","$202.61"
"3/13/2025","3/13/2025","3/14/2025","QQQ","Invesco QQQ
CUSIP: 46090E103","Sell","0.38133","$467.48","$178.26"
"1/21/2025","1/21/2025","1/22/2025","IWF","iShares Russell 1000 Growth ETF
CUSIP: 464287614","Buy","0.48851","$409.40","($200.00)"
"1/21/2025","1/21/2025","1/22/2025","VUG","Vanguard Growth ETF
CUSIP: 922908736","Buy","0.55025","$417.99","($230.00)"
"1/21/2025","1/21/2025","1/22/2025","QQQ","Invesco QQQ
CUSIP: 46090E103","Buy","0.38133","$524.48","($200.00)"
"1/21/2025","1/21/2025","1/21/2025","","Instant bank transfer - account ending in 2776","RTP","","","$700.00"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
